City,Date,Timestamp,Avg_Temperature_C,Avg_Humidity_Percent,Avg_Pressure_hPa,Avg_Wind_Speed_kmph,Total_Rain_mm,UV_Index,Visibility_km
Chennai,01-01-2025,2025-01-01 03:05:00,20.1,70.0,1005,8.1,5.2,5.0,5.0
Mumbai,01-01-2025,2025-01-01 12:47:00,31.8,56.0,1014,6.6,5.5,8.0,6.7
Delhi,01-01-2025,2025-01-01 18:36:00,25.8,50.0,1016,11.7,6.6,1.0,8.7
Mumbai,02-01-2025,2025-01-02 03:53:00,27.8,67.0,1013,14.2,9.8,8.0,4.7
Delhi,02-01-2025,2025-01-02 16:00:00,24.6,63.0,1013,14.5,5.0,6.0,7.2
Chennai,02-01-2025,2025-01-02 17:47:00,25.9,57.0,1018,7.2,8.6,6.0,4.6
Mumbai,03-01-2025,2025-01-03 04:25:00,34.7,65.0,1011,11.5,1.8,6.0,7.3
Delhi,03-01-2025,2025-01-03 13:37:00,30.3,62.0,1015,9.2,1.2,,5.3
Chennai,03-01-2025,2025-01-03 18:37:00,,69.0,1011,18.8,0.1,6.0,7.1
Mumbai,04-01-2025,2025-01-04 04:54:00,23.7,55.0,1016,11.8,0.6,4.0,3.1
Delhi,04-01-2025,2025-01-04 08:50:00,25.8,55.0,1014,17.1,1.7,2.0,8.5
Chennai,04-01-2025,2025-01-04 23:50:00,34.9,88.0,1011,18.7,0.4,1.0,8.4
Chennai,05-01-2025,2025-01-05 04:11:00,27.7,66.0,1010,12.0,7.8,11.0,4.3
Mumbai,05-01-2025,2025-01-05 08:47:00,30.9,83.0,1014,11.7,2.5,10.0,2.4
Delhi,05-01-2025,2025-01-05 09:56:00,24.2,61.0,1019,7.7,3.0,11.0,4.0
Chennai,06-01-2025,2025-01-06 10:47:00,26.0,,1016,16.7,5.0,9.0,2.6
Delhi,06-01-2025,2025-01-06 16:55:00,21.9,88.0,1010,15.7,5.7,7.0,8.7
Mumbai,06-01-2025,2025-01-06 21:38:00,32.2,57.0,1014,10.3,6.6,6.0,6.7
Mumbai,07-01-2025,2025-01-07 12:48:00,30.0,68.0,1013,7.6,1.8,3.0,2.7
Chennai,07-01-2025,2025-01-07 15:34:00,28.1,69.0,1019,5.5,6.5,5.0,4.5
Delhi,07-01-2025,2025-01-07 20:03:00,26.1,76.0,1018,10.7,2.7,1.0,2.1
Mumbai,08-01-2025,2025-01-08 01:02:00,29.8,89.0,1006,9.9,1.4,7.0,7.1
Chennai,08-01-2025,2025-01-08 08:17:00,25.9,57.0,1014,16.0,7.0,4.0,4.9
Delhi,08-01-2025,2025-01-08 18:23:00,27.1,88.0,1005,9.3,7.2,5.0,6.9
Delhi,09-01-2025,2025-01-09 07:41:00,21.6,62.0,1013,14.6,9.4,8.0,
Mumbai,09-01-2025,2025-01-09 17:04:00,33.1,65.0,1019,13.3,6.2,5.0,7.3
Chennai,09-01-2025,2025-01-09 22:05:00,26.4,78.0,1012,,3.9,2.0,6.4
Mumbai,10-01-2025,2025-01-10 06:53:00,27.4,81.0,1010,14.4,3.7,8.0,6.9
Delhi,10-01-2025,2025-01-10 12:40:00,22.1,55.0,1010,13.6,3.4,7.0,5.0
Chennai,10-01-2025,2025-01-10 21:14:00,28.4,72.0,1016,8.7,5.9,9.0,8.4
